variable,domain,question,overall_pct,house_expected_yes,house_sigma,house_prob_pass,house_verdict,senate_cond_expected_yes,senate_cond_sigma,senate_cond_prob_pass,senate_cond_verdict,senate_irv_expected_yes,senate_irv_sigma,senate_irv_prob_pass,senate_irv_verdict,senate_cond_pure_expected_yes,senate_cond_pure_sigma,senate_cond_pure_prob_pass,senate_cond_pure_verdict,senate_irv_pure_expected_yes,senate_irv_pure_sigma,senate_irv_pure_prob_pass,senate_irv_pure_verdict,pres_mixed_support_pct,pres_mixed_signs,pres_pure_support_pct,pres_pure_signs,law_cond_mixed,law_irv_mixed,law_cond_pure,law_irv_pure
CC24_321b,Police & Guns,Easier concealed-carry permits,38.9291,340.1,12.88,0.0,FAIL,19.89,3.38,0.0485,FAIL,19.29,3.3,0.0299,FAIL,19.14,3.32,0.0278,FAIL,20.8,3.34,0.0799,FAIL,39.44,VETO,36.58,VETO,False,False,False,False
CC24_321c,Police & Guns,Require background checks on all gun sales,92.5023,806.75,7.56,1.0,PASS,47.37,1.81,1.0,PASS,47.83,1.7,1.0,PASS,48.11,1.63,1.0,PASS,47.69,1.72,1.0,PASS,95.87,SIGN,88.79,SIGN,True,True,True,True
CC24_321d,Police & Guns,Increase police by 10%,56.7169,450.99,12.23,0.8819,PASS,27.11,3.26,0.6891,PASS,28.51,3.14,0.8311,PASS,27.71,3.07,0.7648,PASS,29.4,2.97,0.9055,PASS,69.3,SIGN,34.96,VETO,True,True,False,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",26.7993,237.05,11.91,0.0,FAIL,13.55,3.05,0.0,FAIL,12.86,2.95,0.0,FAIL,13.09,2.93,0.0,FAIL,11.83,2.81,0.0,FAIL,18.64,VETO,39.14,VETO,False,False,False,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,86.4629,758.04,9.43,1.0,PASS,44.86,2.28,1.0,PASS,45.32,2.2,1.0,PASS,45.95,2.1,1.0,PASS,45.1,2.22,1.0,PASS,90.73,SIGN,85.85,SIGN,True,True,True,True
CC24_324b,Abortion,Permit abortion only in rape/incest/life danger cases,51.3964,459.36,13.81,0.9511,PASS,28.13,3.48,0.7754,PASS,27.53,3.45,0.7224,PASS,28.55,3.41,0.8146,PASS,29.35,3.39,0.8721,PASS,56.73,SIGN,56.8,SIGN,True,True,True,True
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),63.0207,539.5,13.31,1.0,PASS,31.06,3.4,0.949,PASS,32.11,3.32,0.9766,PASS,31.46,3.32,0.9637,PASS,30.43,3.35,0.9295,PASS,63.87,SIGN,53.18,SIGN,True,True,True,True
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,41.2474,362.53,13.27,0.0,FAIL,21.76,3.43,0.1374,FAIL,21.32,3.35,0.1062,FAIL,22.06,3.35,0.1529,FAIL,23.4,3.37,0.2669,FAIL,45.48,VETO,39.0,VETO,False,False,False,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,18.4855,172.23,11.38,0.0,FAIL,10.61,2.87,0.0,FAIL,9.93,2.79,0.0,FAIL,10.9,2.86,0.0,FAIL,11.27,2.91,0.0,FAIL,19.03,VETO,25.61,VETO,False,False,False,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,66.0666,572.48,12.26,1.0,PASS,33.31,3.23,0.9922,PASS,34.62,3.1,0.9984,PASS,33.89,3.05,0.997,PASS,32.51,3.12,0.9877,PASS,69.27,SIGN,54.3,SIGN,True,True,True,True
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,55.4871,469.18,14.19,0.9894,PASS,27.05,3.5,0.6711,PASS,27.92,3.47,0.757,PASS,27.73,3.45,0.7411,PASS,28.63,3.43,0.8193,PASS,60.65,SIGN,40.71,VETO,True,True,False,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,34.0178,306.43,13.77,0.0,FAIL,18.55,3.41,0.0207,FAIL,19.12,3.44,0.0316,FAIL,19.98,3.45,0.0552,FAIL,19.73,3.44,0.0466,FAIL,41.26,VETO,30.3,VETO,False,False,False,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,60.1484,536.27,13.38,1.0,PASS,32.28,3.38,0.9775,PASS,31.77,3.36,0.9691,PASS,32.5,3.33,0.9821,PASS,33.57,3.28,0.9931,PASS,65.12,SIGN,60.14,SIGN,True,True,True,True
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,62.7367,559.91,12.67,1.0,PASS,33.59,3.28,0.9932,PASS,33.02,3.24,0.9898,PASS,33.52,3.21,0.9937,PASS,34.94,3.12,0.9988,PASS,67.7,SIGN,63.6,SIGN,True,True,True,True
CC24_444e,Civil Liberties,Age verification for adult web content,78.7779,689.77,11.86,1.0,PASS,40.86,2.84,1.0,PASS,40.96,2.82,1.0,PASS,41.08,2.81,1.0,PASS,41.37,2.77,1.0,PASS,82.65,SIGN,77.6,SIGN,True,True,True,True
CC24_444f,Civil Liberties,School voucher subsidies,56.1512,499.34,13.79,1.0,PASS,30.19,3.46,0.9124,PASS,29.41,3.44,0.8717,PASS,30.17,3.43,0.9132,PASS,31.0,3.4,0.9467,PASS,58.92,SIGN,61.41,SIGN,True,True,True,True
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,62.3942,552.98,12.17,1.0,PASS,32.55,3.26,0.9846,PASS,32.95,3.14,0.9912,PASS,34.29,3.1,0.9977,PASS,32.03,3.15,0.981,PASS,61.3,SIGN,67.23,SIGN,True,True,True,True
CC24_326b,Environment & Climate,Require 20% renewable electricity,66.1221,593.08,12.0,1.0,PASS,35.24,3.15,0.999,PASS,35.27,3.05,0.9993,PASS,36.63,2.99,0.9999,PASS,34.46,3.07,0.9982,PASS,64.92,SIGN,76.54,SIGN,True,True,True,True
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,486.0,12.75,0.9999,PASS,28.15,3.4,0.7824,PASS,28.43,3.3,0.813,PASS,29.22,3.32,0.8691,PASS,27.1,3.3,0.6857,PASS,50.78,SIGN,62.63,SIGN,True,True,True,True
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,56.953,494.68,12.94,1.0,PASS,29.5,3.38,0.8813,PASS,29.37,3.3,0.8796,PASS,29.77,3.27,0.9045,PASS,31.41,3.2,0.9676,PASS,63.38,SIGN,50.03,SIGN,True,True,True,True
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,44.7229,392.95,13.09,0.0004,FAIL,22.63,3.42,0.2002,FAIL,22.85,3.34,0.213,FAIL,23.34,3.35,0.2595,FAIL,21.45,3.28,0.109,FAIL,40.1,VETO,50.8,SIGN,False,False,False,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,67.4904,590.24,13.5,1.0,PASS,34.63,3.31,0.9971,PASS,34.75,3.29,0.9975,PASS,34.61,3.3,0.9971,PASS,35.36,3.25,0.9988,PASS,70.8,SIGN,62.14,SIGN,True,True,True,True
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,50.2392,439.36,14.58,0.5778,TOSS-UP,25.51,3.56,0.5008,TOSS-UP,25.51,3.55,0.5015,TOSS-UP,26.09,3.55,0.5659,TOSS-UP,25.34,3.55,0.4815,TOSS-UP,47.66,VETO,54.37,SIGN,False,False,False,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,72.447,641.64,12.21,1.0,PASS,37.74,3.07,1.0,PASS,37.84,3.02,1.0,PASS,38.62,2.98,1.0,PASS,37.23,3.06,0.9999,PASS,71.72,SIGN,78.96,SIGN,True,True,True,True
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,53.2651,463.12,14.31,0.9686,PASS,27.69,3.52,0.7326,PASS,27.82,3.5,0.7458,PASS,27.71,3.5,0.7366,PASS,28.5,3.48,0.8055,PASS,58.39,SIGN,49.35,VETO,True,True,False,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,38.4834,331.58,12.5,0.0,FAIL,19.45,3.32,0.0342,FAIL,19.03,3.21,0.0219,FAIL,18.23,3.2,0.0116,FAIL,20.31,3.23,0.054,FAIL,41.16,VETO,33.49,VETO,False,False,False,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),78.6882,700.68,11.06,1.0,PASS,41.31,2.75,1.0,PASS,41.32,2.71,1.0,PASS,41.96,2.64,1.0,PASS,40.81,2.76,1.0,PASS,78.91,SIGN,84.29,SIGN,True,True,True,True
